style            name              notes    ordering    octant      precision    value    left    right    span  arxiv              conf
nufit5.0         NuFIT_5.0         {}       NO          {}                  3    0.573   0.02     0.016   0.036  hep-ph/2007.14792  {}
foreroetal.      Forero_et_al.     {}       NO          {}                  3    0.566   0.022    0.016   0.038  hep-ex/2006.11237  {}
nova             NOvA              {}       NO          LO                  3    0.46    0.03     0.03    0.06   {}                 Neutrino2020
t2k              T2K               {}       NO          {}                  3    0.546   0.046    0.024   0.07   {}                 Neutrino2020
superkamiokande  Super-Kamiokande  {}       NO          {}                  3    0.44    0.02     0.05    0.07   {}                 Neutrino2020
nova             NOvA              {}       NO          UO                  3    0.57    0.04     0.03    0.07   {}                 Neutrino2020
icecube          IceCube           {}       NO          {}                  3    0.51    0.09     0.07    0.16   hep-ex/1707.07081  Neutrino2018
minos            MINOS+            {}       NO          {}                  3    0.43    0.04     0.2     0.24   hep-ex/2006.15208  Neutrino2020
