style            name              type         notes    ordering    octant      value    left    right      span  result                      arxiv    conf
nova             NOvA              accelerator  {}       NO          {}          0.89    0.9      0.18   1.08      $0.890^{+0.180}_{-0.900}$   {}       {}
novat2k          NOvA+T2K          accelerator  {}       NO          {}         -0.87    0.21     0.35   0.559589  $-0.870^{+0.350}_{-0.210}$  {}       {}
superkamiokande  Super-Kamiokande  atmospheric  {}       NO          {}         -0.557   0.398    0.242  0.639803  $-0.557^{+0.242}_{-0.398}$  {}       Neutrino2020
superkt2k        SuperK+T2K        atmospheric  {}       NO          {}         -0.596   0.188    0.212  0.400752  $-0.596^{+0.212}_{-0.188}$  {}       {}
t2k              T2K               accelerator  {}       NO          {}         -0.63    0.21     0.27   0.480002  $-0.630^{+0.270}_{-0.210}$  {}       {}
