style         name            notes      value    left    right    span  result                     arxiv              conf
nufit5.0      NuFIT_5.0       {}         0.304   0.012    0.012   0.024  $0.304\pm0.012$            hep-ph/2007.14792  {}
kamlandsksno  KamLAND+SK+SNO  {}         0.306   0.012    0.013   0.025  $0.306^{+0.013}_{-0.012}$  {}                 {}
superksno     SuperK+SNO      {}         0.306   0.014    0.014   0.028  $0.306\pm0.014$            {}                 {}
foreroetal.   Forero_et_al.   {}         0.318   0.016    0.016   0.032  $0.318\pm0.016$            hep-ex/2006.11237  {}
sno           SNO             {}         0.299   0.02     0.023   0.043  $0.299^{+0.023}_{-0.020}$  1109.0763          {}
kamland       KamLAND         {}         0.316   0.026    0.034   0.06   $0.316^{+0.034}_{-0.026}$  {}                 {}
