style            name              notes    ordering    octant      value    left    right      span  result                        arxiv              conf
nufit50          NuFIT_5.0         {}       NO          {}           1.09    0.13     0.15  0.283333  $1.09^{+0.15}_{-0.13}$        hep-ph/2007.14792  {}
foreroetal       Forero_et_al.     {}       NO          {}           1.2     0.14     0.23  0.37      $1.20^{+0.23}_{-0.14}$        hep-ex/2006.11237  {}
t2k              T2K               {}       NO          {}          -0.63    0.22     0.32  0.537944  $-0.63^{+0.32}_{-0.22}$       {}                 Neutrino2020
superkamiokande  Super-Kamiokande  {}       NO          {}           1.39    0.44     0.28  0.722563  $1.39^{+0.28}_{-0.44}$        {}                 Neutrino2020
nova             NOvA              {}       NO          {}           0.82    1        0.24  1.24      $0.8200^{+0.2400}_{-1.0000}$  {}                 Neutrino2020
